datetime,head
2003-06-03 11:00:00,-2.159
2003-06-04 11:00:00,-2.046
2003-06-05 11:00:00,-2.078
2003-06-06 11:00:00,-2.199
2003-06-07 11:00:00,-2.253
2003-06-08 11:00:00,-2.296
2003-06-09 11:00:00,-2.257
2003-06-10 11:00:00,-2.323
2003-06-11 11:00:00,-2.375
2003-06-12 11:00:00,-2.416
2003-06-13 11:00:00,-2.453
2003-06-14 11:00:00,-2.457
2003-06-15 11:00:00,-2.475
2003-06-16 11:00:00,-2.489
2003-06-17 11:00:00,-2.467
2003-06-18 11:00:00,-2.51
2003-06-19 11:00:00,-2.518
2003-06-20 11:00:00,-2.529
2003-06-21 11:00:00,-2.538
2003-06-22 11:00:00,-2.538
2003-06-23 11:00:00,-2.513
2003-06-24 11:00:00,-2.595
2003-06-25 11:00:00,-2.602
2003-06-26 11:00:00,-2.597
2003-06-27 11:00:00,-2.614
2003-06-28 11:00:00,-2.622
2003-06-29 11:00:00,-2.615
2003-06-30 11:00:00,-2.621
2003-07-01 11:00:00,-2.558
2003-07-02 11:00:00,-2.277
2003-07-03 11:00:00,-2.287
2003-07-04 11:00:00,-2.213
2003-07-05 11:00:00,-2.268
2003-07-06 11:00:00,-2.333
2003-07-07 11:00:00,-2.371
2003-07-08 11:00:00,-2.412
2003-07-09 11:00:00,-2.442
2003-07-10 11:00:00,-2.462
2003-07-11 11:00:00,-2.487
2003-07-12 11:00:00,-2.527
2003-07-13 11:00:00,-2.544
2003-07-14 11:00:00,-2.524
2003-07-15 11:00:00,-2.523
2003-07-16 11:00:00,-2.544
2003-07-17 11:00:00,-2.58
2003-07-18 11:00:00,-2.59
2003-07-19 11:00:00,-2.603
2003-07-20 11:00:00,-2.593
2003-07-21 11:00:00,-2.632
2003-07-22 11:00:00,-2.651
2003-07-23 11:00:00,-2.66
2003-07-24 11:00:00,-2.666
2003-07-25 11:00:00,-2.65
2003-07-26 11:00:00,-2.68
2003-07-27 11:00:00,-2.683
2003-07-28 11:00:00,-2.722
2003-07-29 11:00:00,-2.724
2003-07-30 11:00:00,-2.705
2003-07-31 11:00:00,-2.691
2003-08-01 11:00:00,-2.716
2003-08-02 11:00:00,-2.728
2003-08-03 11:00:00,-2.742
2003-08-04 11:00:00,-2.762
2003-08-05 11:00:00,-2.78
2003-08-06 11:00:00,-2.799
2003-08-07 11:00:00,-2.813
2003-08-08 11:00:00,-2.839
2003-08-09 11:00:00,-2.854
2003-08-10 11:00:00,-2.85
2003-08-11 11:00:00,-2.877
2003-08-12 11:00:00,-2.89
2003-08-13 11:00:00,-2.913
2003-08-14 11:00:00,-2.922
2003-08-15 11:00:00,-2.935
2003-08-16 11:00:00,-2.948
2003-08-17 11:00:00,-2.956
2003-08-18 11:00:00,-2.978
2003-08-19 11:00:00,-2.855
2003-08-20 11:00:00,-2.915
2003-08-21 11:00:00,-2.936
2003-08-22 11:00:00,-2.947
2003-08-23 11:00:00,-2.98
2003-08-24 11:00:00,-2.991
2003-08-25 11:00:00,-2.997
2003-08-26 11:00:00,-2.997
2003-08-27 11:00:00,-3.01
2003-08-28 11:00:00,-3.005
2003-08-29 11:00:00,-2.996
2003-08-30 11:00:00,-2.947
2003-08-31 11:00:00,-2.96
2003-09-01 11:00:00,-2.968
2003-09-02 11:00:00,-2.983
2003-09-03 11:00:00,-2.977
2003-09-04 11:00:00,-2.964
2003-09-05 11:00:00,-2.973
2003-09-06 11:00:00,-2.974
2003-09-07 11:00:00,-2.936
2003-09-08 11:00:00,-2.918
2003-09-09 11:00:00,-2.885
2003-09-10 11:00:00,-2.873
2003-09-11 11:00:00,-2.858
2003-09-12 11:00:00,-2.851
2003-09-13 11:00:00,-2.856
2003-09-14 11:00:00,-2.869
2003-09-15 11:00:00,-2.876
2003-09-16 11:00:00,-2.873
2003-09-17 11:00:00,-2.888
2003-09-18 11:00:00,-2.902
2003-09-19 11:00:00,-2.929
2003-09-20 11:00:00,-2.934
2003-09-21 11:00:00,-2.947
2003-09-22 11:00:00,-2.959
2003-09-23 11:00:00,-2.721
2003-09-24 11:00:00,-2.756
2003-09-25 11:00:00,-2.753
2003-09-26 11:00:00,-2.753
2003-09-27 11:00:00,-2.763
2003-09-28 11:00:00,-2.739
2003-09-29 11:00:00,-2.616
2003-09-30 11:00:00,-2.649
2003-10-01 11:00:00,-2.666
2003-10-02 11:00:00,-2.688
2003-10-03 11:00:00,-2.681
2003-10-04 11:00:00,-2.701
2003-10-05 11:00:00,-2.699
2003-10-06 11:00:00,-2.664
2003-10-07 11:00:00,-2.308
2003-10-08 11:00:00,-2.295
2003-10-09 11:00:00,-2.27
2003-10-10 11:00:00,-2.315
2003-10-11 11:00:00,-2.389
2003-10-12 11:00:00,-2.456
2003-10-13 11:00:00,-2.504
2003-10-14 11:00:00,-2.552
2003-10-15 11:00:00,-2.58
2003-10-16 11:00:00,-2.605
2003-10-17 11:00:00,-2.622
2003-10-18 11:00:00,-2.62
2003-10-19 11:00:00,-2.63
2003-10-20 11:00:00,-2.639
2003-10-21 11:00:00,-2.654
2003-10-22 11:00:00,-2.657
2003-10-23 11:00:00,-2.671
2003-10-24 11:00:00,-2.661
2003-10-25 11:00:00,-2.66
2003-10-26 11:00:00,-2.608
2003-10-27 11:00:00,-2.593
2003-10-28 11:00:00,-2.58
2003-10-29 11:00:00,-2.554
2003-10-30 11:00:00,-2.584
2003-10-31 11:00:00,-2.581
2003-11-01 11:00:00,-2.401
2003-11-02 11:00:00,-2.397
2003-11-03 11:00:00,-2.376
2003-11-04 11:00:00,-2.297
2003-11-05 11:00:00,-2.363
2003-11-06 11:00:00,-2.406
2003-11-07 11:00:00,-2.446
2003-11-08 11:00:00,-2.473
2003-11-09 11:00:00,-2.496
2003-11-10 11:00:00,-2.527
2003-11-11 11:00:00,-2.538
2003-11-12 11:00:00,-2.548
2003-11-13 11:00:00,-2.579
2003-11-14 11:00:00,-2.551
2003-11-17 05:00:00,-2.589
2003-11-17 08:00:00,-2.586
2003-11-17 11:00:00,-2.584
2003-11-17 14:00:00,-2.581
2003-11-17 17:00:00,-2.572
2003-11-17 20:00:00,-2.576
2003-11-17 23:00:00,-2.565
2003-11-18 02:00:00,-2.543
2003-11-18 05:00:00,-2.536
2003-11-18 08:00:00,-2.526
2003-11-18 11:00:00,-2.522
2003-11-18 14:00:00,-2.511
2003-11-18 17:00:00,-2.504
2003-11-18 20:00:00,-2.503
2003-11-18 23:00:00,-2.502
2003-11-19 02:00:00,-2.51
2003-11-19 05:00:00,-2.499
2003-11-19 08:00:00,-2.5
2003-11-19 11:00:00,-2.502
2003-11-19 14:00:00,-2.505
2003-11-19 17:00:00,-2.516
2003-11-19 20:00:00,-2.534
2003-11-19 23:00:00,-2.527
2003-11-20 02:00:00,-2.523
2003-11-20 05:00:00,-2.515
2003-11-20 08:00:00,-2.51
2003-11-20 11:00:00,-2.522
2003-11-20 14:00:00,-2.516
2003-11-20 17:00:00,-2.518
2003-11-20 20:00:00,-2.513
2003-11-20 23:00:00,-2.517
2003-11-21 02:00:00,-2.517
2003-11-21 05:00:00,-2.514
2003-11-21 08:00:00,-2.522
2003-11-21 11:00:00,-2.52
2003-11-21 14:00:00,-2.521
2003-11-21 17:00:00,-2.519
2003-11-21 20:00:00,-2.521
2003-11-21 23:00:00,-2.518
2003-11-22 02:00:00,-2.516
2003-11-22 05:00:00,-2.496
2003-11-22 08:00:00,-2.476
2003-11-22 11:00:00,-2.434
2003-11-22 14:00:00,-2.405
2003-11-22 17:00:00,-2.384
2003-11-22 20:00:00,-2.373
2003-11-22 23:00:00,-2.365
2003-11-23 02:00:00,-2.366
2003-11-23 05:00:00,-2.375
2003-11-23 08:00:00,-2.373
2003-11-23 11:00:00,-2.373
2003-11-23 14:00:00,-2.308
2003-11-23 17:00:00,-2.272
2003-11-23 20:00:00,-2.251
2003-11-23 23:00:00,-2.239
2003-11-24 02:00:00,-2.242
2003-11-24 05:00:00,-2.221
2003-11-24 08:00:00,-2.191
2003-11-24 11:00:00,-2.176
2003-11-24 14:00:00,-2.168
2003-11-24 17:00:00,-2.156
2003-11-24 20:00:00,-2.162
2003-11-24 23:00:00,-2.163
2003-11-25 02:00:00,-2.16
2003-11-25 05:00:00,-2.165
2003-11-25 08:00:00,-2.167
2003-11-25 11:00:00,-2.177
2003-11-25 14:00:00,-2.182
2003-11-25 17:00:00,-2.189
2003-11-25 20:00:00,-2.196
2003-11-25 23:00:00,-2.203
2003-11-26 02:00:00,-2.208
2003-11-26 05:00:00,-2.201
2003-11-26 08:00:00,-2.202
2003-11-26 11:00:00,-2.209
2003-11-26 14:00:00,-2.211
2003-11-26 17:00:00,-2.221
2003-11-26 20:00:00,-2.228
2003-11-26 23:00:00,-2.211
2003-11-27 02:00:00,-2.177
2003-11-27 05:00:00,-2.179
2003-11-27 08:00:00,-2.185
2003-11-27 11:00:00,-2.189
2003-11-27 14:00:00,-2.196
2003-11-27 17:00:00,-2.209
2003-11-27 20:00:00,-2.211
2003-11-27 23:00:00,-2.218
2003-11-28 02:00:00,-2.22
2003-11-28 05:00:00,-2.231
2003-11-28 08:00:00,-2.233
2003-11-28 11:00:00,-2.239
2003-11-28 14:00:00,-2.24
2003-11-28 17:00:00,-2.239
2003-11-28 20:00:00,-2.25
2003-11-28 23:00:00,-2.252
2003-11-29 02:00:00,-2.255
2003-11-29 05:00:00,-2.254
2003-11-29 08:00:00,-2.256
2003-11-29 11:00:00,-2.259
2003-11-29 14:00:00,-2.26
2003-11-29 17:00:00,-2.258
2003-11-29 20:00:00,-2.262
2003-11-29 23:00:00,-2.27
2003-11-30 02:00:00,-2.27
2003-11-30 05:00:00,-2.269
2003-11-30 08:00:00,-2.267
2003-11-30 11:00:00,-2.26
2003-11-30 14:00:00,-2.249
2003-11-30 17:00:00,-2.246
2003-11-30 20:00:00,-2.254
2003-11-30 23:00:00,-2.261
2003-12-01 02:00:00,-2.266
2003-12-01 05:00:00,-2.218
2003-12-01 08:00:00,-2.155
2003-12-01 11:00:00,-2.14
2003-12-01 14:00:00,-2.14
2003-12-01 17:00:00,-2.15
2003-12-01 20:00:00,-2.15
2003-12-01 23:00:00,-2.161
2003-12-02 02:00:00,-2.176
2003-12-02 05:00:00,-2.183
2003-12-02 08:00:00,-2.184
2003-12-02 11:00:00,-2.19
2003-12-02 14:00:00,-2.202
2003-12-02 17:00:00,-2.199
2003-12-02 20:00:00,-2.209
2003-12-02 23:00:00,-2.213
2003-12-03 02:00:00,-2.222
2003-12-03 05:00:00,-2.226
2003-12-03 08:00:00,-2.23
2003-12-03 11:00:00,-2.236
2003-12-03 14:00:00,-2.242
2003-12-03 17:00:00,-2.247
2003-12-03 20:00:00,-2.247
2003-12-03 23:00:00,-2.254
2003-12-04 02:00:00,-2.256
2003-12-04 05:00:00,-2.261
2003-12-04 08:00:00,-2.265
2003-12-04 11:00:00,-2.268
2003-12-04 14:00:00,-2.275
2003-12-04 17:00:00,-2.276
2003-12-04 20:00:00,-2.282
2003-12-04 23:00:00,-2.287
2003-12-05 02:00:00,-2.28
2003-12-05 05:00:00,-2.287
2003-12-05 08:00:00,-2.29
2003-12-05 11:00:00,-2.299
2003-12-05 14:00:00,-2.299
2003-12-05 17:00:00,-2.3
2003-12-05 20:00:00,-2.303
2003-12-05 23:00:00,-2.304
2003-12-06 02:00:00,-2.312
