datetime,head
1981-01-28 11:00:00,-1.33
1981-02-27 11:00:00,-1.42
1981-03-31 11:00:00,-1.32
1981-04-28 11:00:00,-1.58
1981-05-29 11:00:00,-1.58
1981-06-29 11:00:00,-1.47
1981-07-29 11:00:00,-1.51
1981-08-28 11:00:00,-1.68
1981-09-29 11:00:00,-1.67
1981-10-30 11:00:00,-1.35
1981-11-27 11:00:00,-1.36
1982-01-27 11:00:00,-1.37
1982-02-27 11:00:00,-1.52
1982-03-29 11:00:00,-1.46
1982-04-28 11:00:00,-1.61
1982-05-27 11:00:00,-1.6
1982-06-29 11:00:00,-1.61
1982-08-28 11:00:00,-1.58
1982-09-28 11:00:00,-1.68
1982-10-28 11:00:00,-1.48
1982-11-29 11:00:00,-1.41
1982-12-28 11:00:00,-1.41
1983-01-28 11:00:00,-1.4
1983-02-28 11:00:00,-1.4
1983-03-28 11:00:00,-1.31
1983-04-29 11:00:00,-1.36
1983-05-28 11:00:00,-1.31
1983-06-28 11:00:00,-1.66
1983-07-29 11:00:00,-1.78
1983-08-29 11:00:00,-1.77
1983-09-28 11:00:00,-1.66
1983-10-28 11:00:00,-1.6
1983-11-28 11:00:00,-1.55
1983-12-28 11:00:00,-1.42
1984-01-28 11:00:00,-1.44
1984-02-28 11:00:00,-1.47
1984-03-29 11:00:00,-1.47
1984-04-28 11:00:00,-1.6
1984-05-28 11:00:00,-1.47
1984-07-28 11:00:00,-1.54
1984-08-28 11:00:00,-1.71
1984-09-28 11:00:00,-1.5
1984-10-29 11:00:00,-1.34
1984-11-28 11:00:00,-1.36
1984-12-28 11:00:00,-1.35
1985-01-28 11:00:00,-1.37
1985-02-28 11:00:00,-1.41
1985-03-28 11:00:00,-1.49
1985-04-29 11:00:00,-1.51
1985-05-29 11:00:00,-1.56
1985-06-28 11:00:00,-1.35
1985-07-29 11:00:00,-1.52
1985-10-29 11:00:00,-1.64
1985-11-29 11:00:00,-1.7
1985-12-28 11:00:00,-1.66
1986-01-14 11:00:00,-1.28
1986-01-28 11:00:00,-1.38
1986-02-14 11:00:00,-1.41
1986-02-28 11:00:00,-1.42
1986-03-14 11:00:00,-1.63
1986-03-28 11:00:00,-1.41
1986-04-14 11:00:00,-1.63
1986-04-28 11:00:00,-1.65
1986-05-14 11:00:00,-1.58
1986-05-28 11:00:00,-1.67
1986-06-14 11:00:00,-1.69
1986-06-28 11:00:00,-1.76
1986-07-14 11:00:00,-1.7
1986-07-28 11:00:00,-1.7
1986-08-14 11:00:00,-1.78
1986-08-28 11:00:00,-1.74
1986-09-14 11:00:00,-1.6
1986-09-28 11:00:00,-1.76
1986-10-14 11:00:00,-1.77
1986-10-28 11:00:00,-1.61
1986-11-14 11:00:00,-1.65
1986-11-28 11:00:00,-1.45
1986-12-14 11:00:00,-1.52
1986-12-28 11:00:00,-1.3
1987-01-13 11:00:00,-1.42
1987-01-28 11:00:00,-1.51
1987-02-12 11:00:00,-1.42
1987-02-26 11:00:00,-1.47
1987-03-12 11:00:00,-1.57
1987-03-26 11:00:00,-1.36
1987-04-28 11:00:00,-1.84
1987-05-14 11:00:00,-1.59
1987-05-26 11:00:00,-1.65
1987-06-15 11:00:00,-1.5
1987-06-29 11:00:00,-1.51
1987-07-14 11:00:00,-1.67
1987-07-28 11:00:00,-1.44
1987-08-14 11:00:00,-1.54
1987-08-28 11:00:00,-1.58
1987-09-14 11:00:00,-1.47
1987-09-28 11:00:00,-1.49
1987-10-14 11:00:00,-1.44
1987-10-28 11:00:00,-1.47
1987-11-14 11:00:00,-1.45
1987-11-28 11:00:00,-1.36
1987-12-14 11:00:00,-1.5
1987-12-28 11:00:00,-1.52
1988-01-14 11:00:00,-1.39
1988-02-29 11:00:00,-1.44
1988-03-14 11:00:00,-1.39
1988-03-28 11:00:00,-1.35
1988-04-14 11:00:00,-1.62
1988-04-28 11:00:00,-1.68
1988-05-14 11:00:00,-1.81
1988-05-28 11:00:00,-1.74
1988-06-14 11:00:00,-1.56
1988-06-28 11:00:00,-1.76
1988-07-14 11:00:00,-1.74
1988-07-28 11:00:00,-1.51
1988-08-15 11:00:00,-1.71
1988-08-29 11:00:00,-1.51
1988-09-14 11:00:00,-1.63
1988-09-28 11:00:00,-1.57
1988-10-14 11:00:00,-1.43
1988-10-28 11:00:00,-1.66
1988-11-14 11:00:00,-1.65
1988-11-28 11:00:00,-1.57
1988-12-14 11:00:00,-1.52
1988-12-28 11:00:00,-1.56
1989-01-14 11:00:00,-1.61
1989-01-28 11:00:00,-1.68
1989-02-14 11:00:00,-1.61
1989-02-28 11:00:00,-1.53
1989-03-14 11:00:00,-1.48
1989-03-28 11:00:00,-1.57
1989-04-14 11:00:00,-1.61
1989-04-28 11:00:00,-1.69
1989-05-15 11:00:00,-1.76
1989-05-29 11:00:00,-1.84
1989-06-14 11:00:00,-1.82
1989-06-28 11:00:00,-1.88
1989-07-14 11:00:00,-1.82
1989-07-28 11:00:00,-1.92
1989-08-14 11:00:00,-1.84
1989-08-28 11:00:00,-1.87
1989-09-14 11:00:00,-1.86
1989-09-28 11:00:00,-1.91
1989-10-14 11:00:00,-1.81
1989-10-28 11:00:00,-1.75
1989-11-14 11:00:00,-1.71
1989-11-28 11:00:00,-1.76
1989-12-14 11:00:00,-1.62
1990-01-15 11:00:00,-1.66
1990-01-29 11:00:00,-1.55
1990-02-14 11:00:00,-1.41
1990-03-14 11:00:00,-1.63
1990-03-28 11:00:00,-1.69
1990-04-14 11:00:00,-1.73
1990-04-28 11:00:00,-1.7
1990-05-28 11:00:00,-1.84
1990-06-14 11:00:00,-1.78
1990-06-28 11:00:00,-1.81
1990-07-14 11:00:00,-1.79
1990-07-28 11:00:00,-1.89
1990-08-14 11:00:00,-1.93
1990-08-28 11:00:00,-1.85
1990-09-14 11:00:00,-1.7
1990-09-28 11:00:00,-1.57
1990-10-15 11:00:00,-1.67
1990-10-29 11:00:00,-1.6
1990-11-14 11:00:00,-1.48
1990-11-28 11:00:00,-1.44
1990-12-14 11:00:00,-1.54
1990-12-28 11:00:00,-1.47
1991-01-14 11:00:00,-1.5
1991-01-28 11:00:00,-1.59
1991-02-14 11:00:00,-1.68
1991-02-28 11:00:00,-1.59
1991-03-14 11:00:00,-1.64
1991-03-28 11:00:00,-1.72
1991-04-14 11:00:00,-1.79
1991-04-28 11:00:00,-1.72
1991-05-14 11:00:00,-1.75
1991-05-28 11:00:00,-1.88
1991-06-14 11:00:00,-1.81
1991-06-28 11:00:00,-1.66
1991-07-14 11:00:00,-1.93
1991-08-14 11:00:00,-1.89
1991-08-28 11:00:00,-1.95
1991-09-14 11:00:00,-1.98
1991-09-28 11:00:00,-1.87
1991-10-14 11:00:00,-1.83
1991-10-28 11:00:00,-1.78
