datetime,head
2010-07-01 11:00:00,-3.132
2010-07-02 11:00:00,-3.137
2010-07-03 11:00:00,-3.149
2010-07-04 11:00:00,-3.128
2010-07-05 11:00:00,-3.14
2010-07-06 11:00:00,-3.141
2010-07-07 11:00:00,-3.142
2010-07-08 11:00:00,-3.156
2010-07-09 11:00:00,-3.158
2010-07-10 11:00:00,-3.164
2010-07-11 11:00:00,-2.948
2010-07-12 11:00:00,-2.968
2010-07-13 11:00:00,-2.946
2010-07-14 11:00:00,-2.96
2010-07-15 11:00:00,-2.961
2010-07-16 11:00:00,-2.975
2010-07-17 11:00:00,-2.987
2010-07-18 11:00:00,-2.986
2010-07-19 11:00:00,-3.0
2010-07-20 11:00:00,-3.012
2010-07-21 11:00:00,-3.02
2010-07-22 11:00:00,-3.038
2010-07-23 11:00:00,-3.053
2010-07-24 11:00:00,-3.068
2010-07-25 11:00:00,-3.075
2010-07-26 11:00:00,-3.089
2010-07-27 11:00:00,-3.096
2010-07-28 11:00:00,-3.108
2010-07-29 11:00:00,-3.105
2010-07-30 11:00:00,-3.106
2010-07-31 11:00:00,-3.105
2010-08-01 11:00:00,-3.114
2010-08-02 11:00:00,-3.122
2010-08-03 11:00:00,-3.123
2010-08-04 11:00:00,-3.123
2010-08-05 11:00:00,-3.121
2010-08-06 11:00:00,-3.125
2010-08-07 11:00:00,-3.13
2010-08-08 11:00:00,-3.135
2010-08-09 11:00:00,-3.137
2010-08-10 11:00:00,-3.128
2010-08-11 11:00:00,-3.125
2010-08-12 11:00:00,-3.114
2010-08-13 11:00:00,-3.111
2010-08-14 11:00:00,-3.118
2010-08-15 11:00:00,-3.126
2010-08-16 11:00:00,-3.12
2010-08-17 11:00:00,-3.118
2010-08-18 11:00:00,-3.11
2010-08-19 11:00:00,-3.11
2010-08-20 11:00:00,-3.111
2010-08-21 11:00:00,-3.117
2010-08-22 11:00:00,-3.119
2010-08-23 11:00:00,-3.108
2010-08-24 11:00:00,-3.108
2010-08-25 11:00:00,-3.112
2010-08-26 11:00:00,-3.103
2010-08-27 11:00:00,-2.97
2010-08-28 11:00:00,-2.727
2010-08-29 11:00:00,-2.616
2010-08-30 11:00:00,-2.17
2010-08-31 11:00:00,-2.322
2010-09-01 11:00:00,-2.405
2010-09-02 11:00:00,-2.468
2010-09-03 11:00:00,-2.501
2010-09-04 11:00:00,-2.555
2010-09-05 11:00:00,-2.591
2010-09-06 11:00:00,-2.617
2010-09-07 11:00:00,-2.646
2010-09-08 11:00:00,-2.667
2010-09-09 11:00:00,-2.691
2010-09-10 11:00:00,-2.706
2010-09-11 11:00:00,-2.718
2010-09-12 11:00:00,-2.737
2010-09-13 11:00:00,-2.756
2010-09-14 11:00:00,-2.622
2010-09-15 11:00:00,-2.354
2010-09-16 11:00:00,-2.276
2010-09-17 11:00:00,-2.369
2010-09-18 11:00:00,-2.381
2010-09-19 11:00:00,-2.475
2010-09-20 11:00:00,-2.404
2010-09-21 11:00:00,-2.454
2010-09-22 11:00:00,-2.522
2010-09-23 11:00:00,-2.563
2010-09-24 11:00:00,-2.385
2010-09-25 11:00:00,-2.329
2010-09-26 11:00:00,-2.419
2010-09-27 11:00:00,-2.425
2010-09-28 11:00:00,-2.463
2010-09-29 11:00:00,-2.528
2010-09-30 11:00:00,-2.569
2010-10-01 11:00:00,-2.59
2010-10-02 11:00:00,-2.574
2010-10-03 11:00:00,-2.541
2010-10-04 11:00:00,-2.611
2010-10-05 11:00:00,-2.637
2010-10-06 11:00:00,-2.655
2010-10-07 11:00:00,-2.682
2010-10-08 11:00:00,-2.697
2010-10-09 11:00:00,-2.714
2010-10-10 11:00:00,-2.739
2010-10-11 11:00:00,-2.757
2010-10-12 11:00:00,-2.771
2010-10-13 11:00:00,-2.779
2010-10-14 11:00:00,-2.795
2010-10-15 11:00:00,-2.801
2010-10-16 11:00:00,-2.807
2010-10-17 11:00:00,-2.807
2010-10-18 11:00:00,-2.803
2010-10-19 11:00:00,-2.764
2010-10-20 11:00:00,-2.503
2010-10-21 11:00:00,-2.287
2010-10-22 11:00:00,-2.36
2010-10-23 11:00:00,-2.429
2010-10-24 11:00:00,-2.382
2010-10-25 11:00:00,-2.478
2010-10-26 11:00:00,-2.521
2010-10-27 11:00:00,-2.477
2010-10-28 11:00:00,-2.507
2010-10-29 11:00:00,-2.512
2010-10-30 11:00:00,-2.558
2010-10-31 11:00:00,-2.6
2010-11-01 11:00:00,-2.632
2010-11-02 11:00:00,-2.64
2010-11-03 11:00:00,-2.617
2010-11-04 11:00:00,-2.527
2010-11-05 11:00:00,-2.433
2010-11-06 11:00:00,-2.282
2010-11-07 11:00:00,-2.386
2010-11-08 11:00:00,-2.447
2010-11-09 11:00:00,-2.515
2010-11-10 11:00:00,-2.564
2010-11-11 11:00:00,-2.578
2010-11-12 11:00:00,-2.32
2010-11-13 11:00:00,-2.418
2010-11-14 11:00:00,-2.233
2010-11-15 11:00:00,-2.29
2010-11-16 11:00:00,-2.385
2010-11-17 11:00:00,-2.44
2010-11-18 11:00:00,-2.484
2010-11-19 11:00:00,-2.523
2010-11-20 11:00:00,-2.55
2010-11-21 11:00:00,-2.583
2010-11-22 11:00:00,-2.61
2010-11-23 11:00:00,-2.593
2010-11-24 11:00:00,-2.568
2010-11-25 11:00:00,-2.585
2010-11-26 11:00:00,-2.617
2010-11-27 11:00:00,-2.637
2010-11-28 11:00:00,-2.663
2010-11-29 11:00:00,-2.68
2010-11-30 11:00:00,-2.697
2010-12-01 11:00:00,-2.711
2010-12-02 11:00:00,-2.723
2010-12-03 11:00:00,-2.734
2010-12-04 11:00:00,-2.745
2010-12-05 11:00:00,-2.747
2010-12-06 11:00:00,-2.736
2010-12-07 11:00:00,-2.738
2010-12-08 11:00:00,-2.755
2010-12-09 11:00:00,-2.762
2010-12-10 11:00:00,-2.65
2010-12-11 11:00:00,-2.471
2010-12-12 11:00:00,-2.471
2010-12-13 11:00:00,-2.531
2010-12-14 11:00:00,-2.557
2010-12-15 11:00:00,-2.597
2010-12-16 11:00:00,-2.576
2010-12-17 11:00:00,-2.481
2010-12-18 11:00:00,-2.54
2010-12-19 11:00:00,-2.594
2010-12-20 11:00:00,-2.636
2010-12-21 11:00:00,-2.675
2010-12-22 11:00:00,-2.705
2010-12-23 11:00:00,-2.737
2010-12-24 11:00:00,-2.76
2010-12-25 11:00:00,-2.769
2010-12-26 11:00:00,-2.781
2010-12-27 11:00:00,-2.786
2010-12-28 11:00:00,-2.8
2010-12-29 11:00:00,-2.808
2010-12-30 11:00:00,-2.815
2010-12-31 11:00:00,-2.824
2011-01-01 11:00:00,-2.791
2011-01-02 11:00:00,-2.753
2011-01-03 11:00:00,-2.748
2011-01-04 11:00:00,-2.732
2011-01-05 11:00:00,-2.744
2011-01-06 11:00:00,-2.746
2011-01-07 11:00:00,-2.67
2011-01-08 11:00:00,-2.598
2011-01-09 11:00:00,-2.592
2011-01-10 11:00:00,-2.62
2011-01-11 11:00:00,-2.636
2011-01-12 11:00:00,-2.638
2011-01-13 11:00:00,-2.562
2011-01-14 11:00:00,-2.475
2011-01-15 11:00:00,-2.351
2011-01-16 11:00:00,-2.391
2011-01-17 11:00:00,-2.461
2011-01-18 11:00:00,-2.465
2011-01-19 11:00:00,-2.513
2011-01-20 11:00:00,-2.546
2011-01-21 11:00:00,-2.578
2011-01-22 11:00:00,-2.593
2011-01-23 11:00:00,-2.616
2011-01-24 11:00:00,-2.637
2011-01-25 11:00:00,-2.624
2011-01-26 11:00:00,-2.629
2011-01-27 11:00:00,-2.649
2011-01-28 11:00:00,-2.667
2011-01-29 11:00:00,-2.688
2011-01-30 11:00:00,-2.703
2011-01-31 11:00:00,-2.717
2011-02-01 11:00:00,-2.723
2011-02-02 11:00:00,-2.729
2011-02-03 11:00:00,-2.729
2011-02-04 11:00:00,-2.713
2011-02-05 11:00:00,-2.704
2011-02-06 11:00:00,-2.722
2011-02-07 11:00:00,-2.733
2011-02-08 11:00:00,-2.752
2011-02-09 11:00:00,-2.757
2011-02-10 11:00:00,-2.764
2011-02-11 11:00:00,-2.77
2011-02-12 11:00:00,-2.77
2011-02-13 11:00:00,-2.739
2011-02-14 11:00:00,-2.727
2011-02-15 11:00:00,-2.689
2011-02-16 11:00:00,-2.669
2011-02-17 11:00:00,-2.682
2011-02-18 11:00:00,-2.71
2011-02-19 11:00:00,-2.725
2011-02-20 11:00:00,-2.755
2011-02-21 11:00:00,-2.778
2011-02-22 11:00:00,-2.791
2011-02-23 11:00:00,-2.799
2011-02-24 11:00:00,-2.815
2011-02-25 11:00:00,-2.821
2011-02-26 11:00:00,-2.803
2011-02-27 11:00:00,-2.811
2011-02-28 11:00:00,-2.76
2011-03-01 11:00:00,-2.734
2011-03-02 11:00:00,-2.735
2011-03-03 11:00:00,-2.754
2011-03-04 11:00:00,-2.762
2011-03-05 11:00:00,-2.778
2011-03-06 11:00:00,-2.799
2011-03-07 11:00:00,-2.818
2011-03-08 11:00:00,-2.816
2011-03-09 11:00:00,-2.822
2011-03-10 11:00:00,-2.822
2011-03-11 11:00:00,-2.839
2011-03-12 11:00:00,-2.842
2011-03-13 11:00:00,-2.847
2011-03-14 11:00:00,-2.861
2011-03-15 11:00:00,-2.869
2011-03-16 11:00:00,-2.864
2011-03-17 11:00:00,-2.878
2011-03-18 11:00:00,-2.884
2011-03-19 11:00:00,-2.89
2011-03-20 11:00:00,-2.894
2011-03-21 11:00:00,-2.905
2011-03-22 11:00:00,-2.908
2011-03-23 11:00:00,-2.916
2011-03-24 11:00:00,-2.92
2011-03-25 11:00:00,-2.921
2011-03-26 11:00:00,-2.925
2011-03-27 11:00:00,-2.931
2011-03-28 11:00:00,-2.939
2011-03-29 11:00:00,-2.941
2011-03-30 11:00:00,-2.943
2011-03-31 11:00:00,-2.94
2011-04-01 11:00:00,-2.941
2011-04-02 11:00:00,-2.942
2011-04-03 11:00:00,-2.958
2011-04-04 11:00:00,-2.963
2011-04-05 11:00:00,-2.936
2011-04-06 11:00:00,-2.949
2011-04-07 11:00:00,-2.964
2011-04-08 11:00:00,-2.968
2011-04-09 11:00:00,-2.976
2011-04-10 11:00:00,-2.983
2011-04-11 11:00:00,-2.985
2011-04-12 11:00:00,-2.988
2011-04-13 11:00:00,-2.991
2011-04-14 11:00:00,-2.993
2011-04-15 11:00:00,-3.001
2011-04-16 11:00:00,-3.004
2011-04-17 11:00:00,-3.012
2011-04-18 11:00:00,-3.016
2011-04-19 11:00:00,-3.013
2011-04-20 11:00:00,-3.021
2011-04-21 11:00:00,-3.03
2011-04-22 11:00:00,-3.029
2011-04-23 11:00:00,-3.034
2011-04-24 11:00:00,-3.04
2011-04-25 11:00:00,-3.049
2011-04-26 11:00:00,-3.056
