x,y,bkf,okf,median,surface_level,tmin,tmax,buis,filt,id
197750.000166899,564625.0003424309,1.87,7.87,-2.267,0.0,2005-10-10 11:00:00,2018-09-18 05:00:00,NYB1-OW,0,NYB1-OW000
197900.00477189693,563990.0016432744,1.9,2.9,-2.672,-1.48,1986-01-14 11:00:00,2018-09-18 08:00:00,11BL0058,1,11BL0058001
198054.00477270596,564052.001644742,0.6399999999999999,2.6399999999999997,-2.462,-1.41,1986-01-14 11:00:00,2015-03-27 10:00:00,11BL0059,1,11BL0059001
197825.00476864027,564400.0016458698,1.1,2.1,-2.582,-1.81,2003-06-03 11:00:00,2018-09-18 05:00:00,11BL0155,1,11BL0155001
197550.0047697275,563900.0016403365,0.8400000000000003,1.8400000000000003,-2.53,-1.63,2003-06-03 11:00:00,2018-09-18 05:00:00,11BL0156,1,11BL0156001
197710.00477248162,563670.0016396433,34.0,36.0,-2.521,-1.7,1985-01-29 11:00:00,2018-09-14 10:14:59,11BP0018,3,11BP0018003
197710.00477248162,563670.0016396433,22.0,24.0,-2.517,-1.7,1985-01-29 11:00:00,2018-09-14 10:14:29,11BP0018,2,11BP0018002
197710.00477248162,563670.0016396433,0.8499999999999999,1.8499999999999999,-2.673,-1.7,1985-01-29 11:00:00,2018-09-14 08:00:00,11BP0018,1,11BP0018001
197710.00477248162,563670.0016396433,48.0,50.0,-2.446,-1.7,1985-01-29 11:00:00,2018-09-14 08:00:00,11BP0018,4,11BP0018004
197655.0047702939,563940.0016413163,54.497,56.497,-3.681,-1.7,1981-01-28 11:00:00,2018-09-18 05:00:00,11BP0071,2,11BP0071002
197655.0047702939,563940.0016413163,228.41000000000003,230.41000000000003,-2.0885,-1.7,1981-01-28 11:00:00,2018-09-18 05:00:00,11BP0071,7,11BP0071007
197655.0047702939,563940.0016413163,206.38000000000002,208.38000000000002,-2.216,-1.7,1981-01-28 11:00:00,2018-09-18 05:00:00,11BP0071,6,11BP0071006
197655.0047702939,563940.0016413163,182.41000000000003,184.41000000000003,-2.237,-1.7,1981-01-28 11:00:00,2018-09-18 05:00:00,11BP0071,5,11BP0071005
197655.0047702939,563940.0016413163,117.44,119.44,-3.102,-1.7,1981-01-28 11:00:00,2018-09-18 07:48:48,11BP0071,4,11BP0071004
197655.0047702939,563940.0016413163,94.41,96.41,-3.431,-1.7,1981-01-28 11:00:00,2018-09-18 07:48:14,11BP0071,3,11BP0071003
197655.0047702939,563940.0016413163,18.470000000000002,20.470000000000002,-3.1,-1.7,1981-01-28 11:00:00,2018-09-18 05:00:00,11BP0071,1,11BP0071001
197869.00476855683,564466.0016466521,19.239,21.239,-2.411,-1.87,1993-09-14 11:00:00,2018-09-18 07:57:13,11BP0100,2,11BP0100002
197869.00476855683,564466.0016466521,11.239999999999998,13.239999999999998,-2.376,-1.87,1993-09-14 11:00:00,2018-09-18 05:00:00,11BP0100,1,11BP0100001
197859.00477137257,564021.001643245,1.9900000000000002,2.9899999999999998,-2.66,-1.44,2007-09-25 11:25:00,2018-06-20 08:00:00,B11B1548,1,B11B1548001
197859.00477127515,564036.0016433572,1.38,2.38,-2.951,-1.52,2007-07-10 11:00:00,2018-06-20 08:00:00,B11B1549,1,B11B1549001
197889.00477169332,564008.00164334,0.9100000000000001,1.9100000000000001,-2.752,-1.56,2011-03-15 11:00:00,2015-03-27 10:00:00,B11B1715,1,B11B1715001
197929.00477223584,563973.0016433389,0.6399999999999999,2.6400000000000006,-2.793,-1.84,2010-07-01 11:00:00,2015-03-27 11:00:00,B11B1716,1,B11B1716001
198033.00477179262,564167.0016454703,1.1500000000000001,2.1500000000000004,-2.563,-1.7,2010-07-01 11:00:00,2015-03-27 11:00:00,B11B1717,1,B11B1717001
198046.00477195994,564157.0016454726,1.2200000000000002,2.22,-2.488,-1.52,2010-07-01 11:00:00,2015-03-27 09:00:00,B11B1718,1,B11B1718001
198055.00477208293,564149.0016454792,1.34,2.34,-2.598,-1.47,2010-07-01 11:00:00,2014-11-19 12:00:00,B11B1719,1,B11B1719001
197835.00476873814,564397.0016459133,1.12,2.12,-2.465,-2.0,2010-07-01 11:00:00,2015-03-24 14:00:00,B11B1725,1,B11B1725001
197550.00476821937,564132.0016420768,1.02,2.02,-2.541,-1.65,2010-07-01 11:00:00,2015-03-24 14:00:00,B11B1726,1,B11B1726001
197567.004768405,564124.0016421321,0.7299999999999998,1.7299999999999998,-2.667,-1.8,2010-07-01 11:00:00,2015-03-24 14:00:00,B11B1727,1,B11B1727001
197338.00476737708,564005.0016397533,0.6799999999999999,1.68,-2.541,-1.91,2010-07-01 11:00:00,2015-03-24 14:00:00,B11B1729,1,B11B1729001
198009.00477065402,564313.0016464081,1.3600000000000003,2.8600000000000003,-2.937,-1.38,2003-12-16 11:00:00,2018-09-18 08:00:00,LEPPEDYK15-1,1,LEPPEDYK15-1001
198001.0047704998,564327.0016464633,1.12,2.62,-2.834,-1.0,2003-12-16 11:00:00,2018-09-18 08:00:00,LEPPEDYK15-2,1,LEPPEDYK15-2001
197916.00477055967,564215.0016450696,1.0200000000000002,2.5200000000000005,-2.761,-1.458,2003-12-16 11:00:00,2018-09-18 08:00:00,LEPPEDYK16-1,1,LEPPEDYK16-1001
197914.00477046557,564227.0016451513,1.0700000000000003,2.5700000000000003,-2.822,-1.388,2003-12-16 11:00:00,2018-09-18 08:00:00,LEPPEDYK16-2,1,LEPPEDYK16-2001
